loan_id,tranche_no,milestone,planned_cum_pct,sanctioned,disbursed_cum,inspection_date,observed_stage
1001,1,foundation,0.15,2800000,600000,2026-01-20,foundation
1001,2,plinth,0.25,2800000,1200000,2026-03-05,plinth
1001,3,slab,0.5,2800000,1800000,2026-08-10,slab
1002,1,foundation,0.15,2500000,358061,2026-04-04,foundation
1002,2,plinth,0.25,2500000,616606,2026-05-17,plinth
1002,3,slab,0.5,2500000,1214337,2026-06-14,slab
1003,1,foundation,0.15,3200000,561801,2026-02-27,foundation
1003,2,plinth,0.25,3200000,940945,2026-03-21,foundation
1003,3,slab,0.5,3200000,1921557,2026-04-19,plinth
1004,1,foundation,0.15,4000000,623060,2026-04-28,foundation
1004,2,plinth,0.25,4000000,1003270,2026-06-05,foundation
1004,3,slab,0.5,4000000,2332549,2026-09-10,plinth
1004,4,brickwork_roof,0.8,4000000,3757129,2026-12-06,slab
1005,1,foundation,0.15,1500000,217977,2026-02-18,foundation
1005,2,plinth,0.25,1500000,382954,2026-05-02,plinth
1005,3,slab,0.5,1500000,758926,2026-07-22,slab
1005,4,brickwork_roof,0.8,1500000,1203806,2026-09-15,brickwork_roof
1005,5,finishing,1.0,1500000,1500000,2026-11-12,finishing
1006,1,foundation,0.15,2500000,382462,2026-02-03,foundation
1006,2,plinth,0.25,2500000,629651,2026-05-16,plinth
1006,3,slab,0.5,2500000,1296892,2026-08-15,slab
1007,1,foundation,0.15,2500000,360677,2026-03-06,foundation
1007,2,plinth,0.25,2500000,641071,2026-04-16,plinth
1007,3,slab,0.5,2500000,1240212,2026-07-03,slab
1007,4,brickwork_roof,0.8,2500000,2052914,2026-10-26,brickwork_roof
1007,5,finishing,1.0,2500000,2500000,2026-12-11,finishing
1008,1,foundation,0.15,2500000,386133,2026-02-27,foundation
1008,2,plinth,0.25,2500000,599600,2026-04-16,plinth
1008,3,slab,0.5,2500000,1274630,2026-05-02,slab
1008,4,brickwork_roof,0.8,2500000,2046232,2026-07-21,brickwork_roof
1008,5,finishing,1.0,2500000,2500000,2026-10-27,finishing
1009,1,foundation,0.15,3200000,498578,2026-03-01,foundation
1009,2,plinth,0.25,3200000,835252,2026-05-06,plinth
1009,3,slab,0.5,3200000,1617747,2026-07-02,slab
1009,4,brickwork_roof,0.8,3200000,2487861,2026-09-05,brickwork_roof
1010,1,foundation,0.15,2000000,311143,2026-02-06,foundation
1010,2,plinth,0.25,2000000,497459,2026-05-09,plinth
1010,3,slab,0.5,2000000,1038338,2026-07-28,slab
1010,4,brickwork_roof,0.8,2000000,1608035,2026-10-14,brickwork_roof
